rank,vh_germline,vh_gene,vh_family,vh_fr_identity,vh_matched,vh_comparable,vh_preferred,vl_germline,vl_gene,vl_family,vl_fr_identity,vl_matched,vl_comparable,vl_preferred,validated_pairing
1,IGHV3-23*04,IGHV3-23,IGHV3,0.9000,72,80,True,IGKV1-12*01,IGKV1-12,IGKV1,0.9114,72,79,True,True
2,IGHV3-23*04,IGHV3-23,IGHV3,0.9000,72,80,True,IGKV1-12*02,IGKV1-12,IGKV1,0.9114,72,79,True,True
3,IGHV3-23*04,IGHV3-23,IGHV3,0.9000,72,80,True,IGKV1-39*01,IGKV1-39,IGKV1,0.9114,72,79,True,True
4,IGHV3-30*02,IGHV3-30,IGHV3,0.9000,72,80,True,IGKV1-12*01,IGKV1-12,IGKV1,0.9114,72,79,True,True
5,IGHV3-30*02,IGHV3-30,IGHV3,0.9000,72,80,True,IGKV1-12*02,IGKV1-12,IGKV1,0.9114,72,79,True,True
6,IGHV3-30*02,IGHV3-30,IGHV3,0.9000,72,80,True,IGKV1-39*01,IGKV1-39,IGKV1,0.9114,72,79,True,True
7,IGHV3-66*01,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-12*01,IGKV1-12,IGKV1,0.9114,72,79,True,True
8,IGHV3-66*01,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-12*02,IGKV1-12,IGKV1,0.9114,72,79,True,True
9,IGHV3-66*01,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-39*01,IGKV1-39,IGKV1,0.9114,72,79,True,True
10,IGHV3-66*02,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-12*01,IGKV1-12,IGKV1,0.9114,72,79,True,True
11,IGHV3-66*02,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-12*02,IGKV1-12,IGKV1,0.9114,72,79,True,True
12,IGHV3-66*02,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-39*01,IGKV1-39,IGKV1,0.9114,72,79,True,True
13,IGHV3-66*04,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-12*01,IGKV1-12,IGKV1,0.9114,72,79,True,True
14,IGHV3-66*04,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-12*02,IGKV1-12,IGKV1,0.9114,72,79,True,True
15,IGHV3-66*04,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1-39*01,IGKV1-39,IGKV1,0.9114,72,79,True,True
16,IGHV3-23*04,IGHV3-23,IGHV3,0.9000,72,80,True,IGKV1D-12*01,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
17,IGHV3-23*04,IGHV3-23,IGHV3,0.9000,72,80,True,IGKV1D-12*02,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
18,IGHV3-30*02,IGHV3-30,IGHV3,0.9000,72,80,True,IGKV1D-12*01,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
19,IGHV3-30*02,IGHV3-30,IGHV3,0.9000,72,80,True,IGKV1D-12*02,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
20,IGHV3-66*01,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1D-12*01,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
21,IGHV3-66*01,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1D-12*02,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
22,IGHV3-66*02,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1D-12*01,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
23,IGHV3-66*02,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1D-12*02,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
24,IGHV3-66*04,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1D-12*01,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
25,IGHV3-66*04,IGHV3-66,IGHV3,0.9000,72,80,True,IGKV1D-12*02,IGKV1D-12,IGKV1D,0.9114,72,79,False,False
